Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1,Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2,Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3,Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4,Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6,Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7,Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8,Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9,Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10,Time (s) Run #11,Position (m) Run #11,Velocity (m/s) Run #11,Acceleration (m/s²) Run #11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8,1.34,-0.2,-9.11,0.8,1.19,-1.51,-6.4,0.8,1.48,-0.05,-0.93,0.8,1.49,0.01,-6.87,0.8,1.4,0.15,-12.59,0.8,1.34,-1.22,-3.49,0.8,0.81,-1.87,-0.89,0.8,1.49,-0.5,-9.49,0.8,1.56,-0.07,6.28,0.8,1.03,-1.17,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.82,1.32,-0.36,-9.77,0.82,1.16,-1.67,-6.95,0.82,1.48,-0.05,0.39,0.82,1.48,-0.2,-10.4,0.82,1.4,-0.34,-17.62,0.82,1.32,-1.27,-2.88,0.82,0.77,-1.91,-1.43,0.82,1.48,-0.73,-7.6,0.82,1.56,-0.01,6.29,0.82,1,-1.2,-1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.84,1.31,-0.65,-8.77,0.84,1.13,-1.83,-5.67,0.84,1.48,-0.01,0.97,0.84,1.48,-0.47,-11.51,0.84,1.39,-0.75,-13.83,0.84,1.29,-1.32,-3.08,0.84,0.74,-1.95,-1.15,0.84,1.46,-0.77,-3.6,0.84,1.56,0.21,2.86,0.84,0.98,-1.26,-1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.86,1.3,-0.7,-8.72,0.86,1.09,-1.91,-3.88,0.86,1.48,0.01,0.67,0.86,1.47,-0.67,-10.41,0.86,1.37,-0.91,-6.98,0.86,1.27,-1.39,-3.71,0.86,0.69,-1.96,-0.47,0.86,1.45,-0.82,-1.67,0.86,1.56,0.27,-5.66,0.86,0.95,-1.29,-1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.88,1.28,-0.92,-9.16,0.88,1.05,-1.94,-3.33,0.88,1.48,0.01,0.19,0.88,1.45,-0.9,-8.38,0.88,1.35,-0.93,-3.65,0.88,1.24,-1.48,-3.92,0.88,0.66,-1.96,-0.31,0.88,1.43,-0.84,-2.07,0.88,1.58,-0.01,-14.11,0.88,0.93,-1.3,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,1.26,-1.14,-8.95,0.9,1.01,-2.02,-3.81,0.9,1.48,0.01,-0.08,0.9,1.43,-1.03,-6.37,0.9,1.33,-0.99,-3.99,0.9,1.21,-1.56,-3.7,0.9,0.62,-1.96,-0.55,0.9,1.41,-0.86,-3.4,0.9,1.56,-0.47,-14.07,0.9,0.9,-1.29,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.92,1.24,-1.31,-6.61,0.92,0.97,-2.12,-3.75,0.92,1.48,0.01,-0.18,0.92,1.41,-1.12,-4.93,0.92,1.31,-1.11,-4.8,0.92,1.18,-1.62,-3.47,0.92,0.58,-1.99,-0.78,0.92,1.4,-0.98,-4.65,0.92,1.55,-0.74,-6.79,0.92,0.88,-1.3,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.94,1.21,-1.38,-5.06,0.94,0.92,-2.19,-2.89,0.94,1.48,0,-0.14,0.94,1.39,-1.21,-4.83,0.94,1.29,-1.21,-4.35,0.94,1.14,-1.69,-3.33,0.94,0.54,-2,-0.78,0.94,1.38,-1.09,-4.05,0.94,1.54,-0.69,-0.4,0.94,0.85,-1.32,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96,1.18,-1.47,-5.15,0.96,0.88,-2.22,-2.1,0.96,1.48,-3.09E-04,-0.04,0.96,1.36,-1.31,-5.18,0.96,1.26,-1.29,-3.62,0.96,1.11,-1.77,-2.82,0.96,0.5,-2.02,-0.62,0.96,1.35,-1.17,-1.8,0.96,1.52,-0.6,-0.73,0.96,0.82,-1.33,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.98,1.15,-1.59,-5.85,0.98,0.84,-2.27,-2.45,0.98,1.48,0,0.03,0.98,1.34,-1.42,-5.27,0.98,1.24,-1.33,-3.88,0.98,1.07,-1.81,-1.61,0.98,0.46,-2.03,-0.47,0.98,1.33,-1.16,-0.44,0.98,1.51,-0.65,-5.47,0.98,0.8,-1.35,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.12,-1.72,-5.8,1,0.79,-2.3,-4.09,1,1.48,0,0.05,1,1.3,-1.53,-4.8,1,1.21,-1.42,-4.78,1,1.03,-1.83,0.12,1,0.42,-2.03,-0.44,1,1.3,-1.13,-0.95,1,1.51,-0.86,-8.04,1,0.77,-1.35,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.02,1.08,-1.83,-5.2,1.02,0.74,-2.41,-5.9,1.02,1.48,0,0.09,1.02,1.27,-1.62,-4.36,1.02,1.18,-1.54,-5.36,1.02,1,-1.82,1.07,1.02,0.38,-2.04,-0.58,1.02,1.28,-1.19,-2.62,1.02,1.48,-1.08,-5.77,1.02,0.74,-1.34,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.04,1.04,-1.92,-4.86,1.04,0.7,-2.57,-6.41,1.04,1.48,0,0.19,1.04,1.24,-1.69,-4.44,1.04,1.14,-1.65,-5.11,1.04,0.96,-1.75,-0.24,1.04,0.34,-2.06,-0.67,1.04,1.26,-1.26,-3.07,1.04,1.45,-1.13,-1.65,1.04,0.72,-1.34,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.06,1,-2.01,-4.89,1.06,0.64,-2.7,-4.58,1.06,1.48,0.01,0.19,1.06,1.21,-1.79,-4.83,1.06,1.11,-1.75,-4.66,1.06,0.93,-1.77,-3.38,1.06,0.29,-2.07,-0.74,1.06,1.23,-1.34,-1.77,1.06,1.43,-1.07,1.27,1.06,0.69,-1.33,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.08,0.96,-2.12,-4.8,1.08,0.58,-2.77,-2.14,1.08,1.48,0.02,-0.02,1.08,1.17,-1.89,-4.76,1.08,1.08,-1.83,-4.25,1.08,0.9,-1.91,-5.17,1.08,0.25,-2.08,1.81,1.08,1.2,-1.34,-0.75,1.08,1.41,-1.07,1.61,1.08,0.66,-1.33,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,0.92,-2.21,-4.38,1.1,0.53,-2.76,-0.67,1.1,1.48,0.01,-0.31,1.1,1.13,-1.99,-3.98,1.1,1.04,-1.92,-3.61,1.1,0.85,-2.06,-3.44,1.1,0.21,-2.11,8.44,1.1,1.18,-1.32,-1.57,1.1,1.39,-0.99,-0.52,1.1,0.64,-1.33,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
